2023-02-10 13:02:55 - Starting VsatApplication using Java 18.0.2 with PID 19880 (C:\Users\svsmirnov\Desktop\vsat\target\classes started by svsmirnov in C:\Users\svsmirnov\Desktop\vsat)
2023-02-10 13:02:55 - No active profile set, falling back to 1 default profile: "default"
2023-02-10 13:02:56 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-10 13:02:56 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-10 13:03:00 - Tomcat initialized with port(s): 8088 (http)
2023-02-10 13:03:00 - Starting service [Tomcat]
2023-02-10 13:03:00 - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-02-10 13:03:00 - Initializing Spring embedded WebApplicationContext
2023-02-10 13:03:00 - Root WebApplicationContext: initialization completed in 4604 ms
2023-02-10 13:04:34 - 10.2.79.1 - Error: Response PDU is null
2023-02-10 13:04:35 - 10.2.206.1 - Error: Response PDU is null
2023-02-10 13:04:35 - 10.2.42.1 - Error: Response PDU is null
2023-02-10 13:04:36 - 10.2.199.1 - Error: Response PDU is null
2023-02-10 13:04:36 - 10.2.139.1 - Error: Response PDU is null
2023-02-10 13:04:37 - 10.2.161.1 - Error: Response PDU is null
2023-02-10 13:04:37 - 10.2.180.1 - Error: Response PDU is null
2023-02-10 13:04:37 - 10.2.100.1 - Error: Response PDU is null
2023-02-10 13:04:38 - 10.2.121.1 - Error: Response PDU is null
2023-02-10 13:04:39 - 10.2.182.1 - Error: Response PDU is null
2023-02-10 13:04:41 - 10.2.48.1 - Error: Response PDU is null
2023-02-10 13:04:41 - 10.2.102.1 - Error: Response PDU is null
2023-02-10 13:04:41 - 10.2.141.1 - Error: Response PDU is null
2023-02-10 13:04:41 - 10.2.10.1 - Error: Response PDU is null
2023-02-10 13:04:42 - 10.2.183.1 - Error: Response PDU is null
2023-02-10 13:04:42 - 10.2.82.1 - Error: Response PDU is null
2023-02-10 13:04:43 - 10.2.63.1 - Error: Response PDU is null
2023-02-10 13:04:44 - 10.2.122.1 - Error: Response PDU is null
2023-02-10 13:04:44 - 10.2.11.1 - Error: Response PDU is null
2023-02-10 13:04:45 - 10.2.83.1 - Error: Response PDU is null
2023-02-10 13:04:45 - 10.2.46.1 - Error: Response PDU is null
2023-02-10 13:04:45 - 10.2.145.1 - Error: Response PDU is null
2023-02-10 13:04:46 - 10.2.64.1 - Error: Response PDU is null
2023-02-10 13:04:46 - 10.2.212.1 - Error: Response PDU is null
2023-02-10 13:04:47 - 10.2.123.1 - Error: Response PDU is null
2023-02-10 13:04:47 - 10.2.12.1 - Error: Response PDU is null
2023-02-10 13:04:48 - 10.2.166.1 - Error: Response PDU is null
2023-02-10 13:04:48 - 10.2.35.1 - Error: Response PDU is null
2023-02-10 13:04:48 - 10.2.84.1 - Error: Response PDU is null
2023-02-10 13:04:48 - 10.2.47.1 - Error: Response PDU is null
2023-02-10 13:04:49 - 10.2.106.1 - Error: Response PDU is null
2023-02-10 13:04:49 - 10.2.65.1 - Error: Response PDU is null
2023-02-10 13:04:49 - 10.2.213.1 - Error: Response PDU is null
2023-02-10 13:04:50 - 10.2.124.1 - Error: Response PDU is null
2023-02-10 13:04:51 - 10.2.167.1 - Error: Response PDU is null
2023-02-10 13:04:51 - 10.2.36.1 - Error: Response PDU is null
2023-02-10 13:04:51 - 10.2.85.1 - Error: Response PDU is null
2023-02-10 13:04:52 - 10.2.107.1 - Error: Response PDU is null
2023-02-10 13:04:52 - 10.2.214.1 - Error: Response PDU is null
2023-02-10 13:04:54 - 10.2.149.1 - Error: Response PDU is null
2023-02-10 13:04:54 - 10.2.168.1 - Error: Response PDU is null
2023-02-10 13:04:54 - 10.2.37.1 - Error: Response PDU is null
2023-02-10 13:04:54 - 10.2.86.1 - Error: Response PDU is null
2023-02-10 13:04:54 - 10.2.51.1 - Error: Response PDU is null
2023-02-10 13:04:55 - 10.2.190.1 - Error: Response PDU is null
2023-02-10 13:04:55 - 10.2.126.1 - Error: Response PDU is null
2023-02-10 13:04:55 - 10.2.215.1 - Error: Response PDU is null
2023-02-10 13:04:55 - 10.2.68.1 - Error: Response PDU is null
2023-02-10 13:04:57 - 10.2.109.1 - Error: Response PDU is null
2023-02-10 13:04:57 - 10.2.169.1 - Error: Response PDU is null
2023-02-10 13:04:57 - 10.2.38.1 - Error: Response PDU is null
2023-02-10 13:04:57 - 10.2.52.1 - Error: Response PDU is null
2023-02-10 13:04:58 - 10.2.127.1 - Error: Response PDU is null
2023-02-10 13:04:58 - 10.2.69.1 - Error: Response PDU is null
2023-02-10 13:04:58 - 10.2.17.1 - Error: Response PDU is null
2023-02-10 13:04:59 - 10.2.88.1 - Error: Response PDU is null
2023-02-10 13:05:00 - 10.2.110.1 - Error: Response PDU is null
2023-02-10 13:05:00 - 10.2.170.1 - Error: Response PDU is null
